battery_kwh,solar_kwp,system_cost,baseline_cost,monthly_savings,grid_import_kwh,grid_export_kwh,solar_production_kwh,consumption_kwh,self_consumption_pct,self_sufficiency_pct,simulation_days,investment_cost,total_savings,payback_months,payback_years
9.99,12,-136.67614123197185,835.4371500000112,80.11922729933927,81.89440551494516,588.7169490436191,989.564621847406,459.03140109890114,40.507478132701365,82.15930210462867,364,8885.2,972.1132912319831,110.8997215712448,9.2416434642704
16.65,12,-193.54232342547581,835.4371500000112,84.80600055704562,34.92185599590648,529.7392197898869,983.6509214445836,459.03140109890114,46.145608341227884,92.39227296600949,364,9418.0,1028.979473425487,111.05346246890733,9.254455205742277
0.0,8,195.5755234499997,835.4371500000112,52.73584834203392,271.08338695054886,613.5911554945048,801.5391696428571,459.03140109890114,23.44838795989179,40.94447867801917,364,5946.0,639.8616265500116,112.75062764583706,9.395885637153087
3.33,10,66.06423631420245,835.4371500000112,63.40985552355567,200.5059090733533,615.7757929930583,882.9538883748241,459.03140109890114,30.2595751487699,56.31978365894993,364,7332.4,769.3729136858087,115.6350213931041,9.636251782758675
6.66,12,-54.73087040851248,835.4371500000112,73.36549618751569,134.47087944107244,617.0354484710053,958.4681383965883,459.03140109890114,35.622748033832636,70.70551619798667,364,8618.8,890.1680204085237,117.47756708372982,9.789797256977485
3.33,2,501.36215854377065,835.4371500000112,27.533653141997853,279.7515585743394,16.041919082804352,202.14536373626368,459.03140109890114,92.06416670345503,39.05611731471389,364,3252.4,334.0749914562406,118.12453593522696,9.84371132793558
13.32,14,-200.7907503447799,835.4371500000112,85.4033983800652,48.48754327837919,595.5454926746481,1033.8162478810618,459.03140109890114,42.39348686042664,89.43698771755001,364,10171.6,1036.2279003447911,119.10064696411716,9.92505391367643
16.65,14,-220.53876954789422,835.4371500000112,87.03098238032189,31.707047823626283,573.3082347257423,1030.566681535716,459.03140109890114,44.36961285499571,93.09261899126705,364,10438.0,1055.9759195479055,119.93430057340224,9.99452504778352
9.99,14,-156.58999467767458,835.4371500000112,81.76047895695213,78.84732392072803,618.3216845056285,1022.3208399073749,459.03140109890114,39.51784406922097,82.82310889146777,364,9905.2,992.0271446776858,121.14899675691977,10.095749729743314
6.66,2,484.3602620152038,835.4371500000112,28.934908350396217,266.4054023181996,1.025213332244088,202.14536373626368,459.03140109890114,99.49283361572334,41.96357772465311,364,3518.8,351.07688798480746,121.61089150129676,10.134240958441397
